timestamp,annotations_total,videos_total,bio_tags_count,keypoints_count
1781948988.860754,317,622,468,468
1781949123.527999,317,622,469,469
1781949479.6442363,317,622,470,470
1781949987.9078784,317,622,472,472
1781950107.987207,317,622,473,473
1781950408.3261619,317,622,474,474
1781950468.397283,317,622,475,475
1781952376.135549,317,622,479,479
1781952436.2089026,317,622,481,481
1781952736.5380874,317,622,482,482
1781953217.0686436,317,622,483,483
1781953457.3386106,317,622,484,484
1781953757.6689844,317,622,485,485
1781954178.1378467,317,622,486,486
1781954478.4685283,317,622,487,487
1781954718.7329838,317,622,488,488
1781955499.586495,317,622,489,489
1781955920.0513968,317,622,490,490
1781956040.190261,317,622,491,491
1781956640.8274,317,622,492,492
1781957541.8206806,317,622,493,493
1781957601.8921788,317,622,494,494
1781957661.9624114,317,622,495,495
1781958502.885368,317,622,496,496
1781958623.018691,317,622,497,497
1781958983.3965986,317,622,498,498
1781959343.7997847,317,622,499,499
1781960184.719689,317,622,500,500
1781960424.988069,317,622,501,501
1781960485.0626125,317,622,502,502
1781960905.5309737,317,622,503,503
1781961025.6714494,317,622,504,504
1781961205.8727787,317,622,505,505
1781962106.8714068,317,622,506,506
1781962166.9411547,317,622,507,507
1781963127.9490902,317,622,508,508
1781963248.0867507,317,622,509,509
1781963788.633203,317,622,510,510
1781963908.7722414,317,622,511,511
1781964028.9089339,317,622,512,512
1781964088.9807167,317,622,513,513
1781964449.3864498,317,622,514,514
1781964509.457557,317,622,515,515
1781964689.6599686,317,622,516,516
1781964809.7938948,317,622,517,517
1781965470.5202973,317,622,518,518
1781965770.8537915,317,622,519,519
1781966011.1204796,317,622,520,520
1781966426.222152,317,622,521,521
1781967026.8818288,317,622,522,522
1781967507.4225216,317,622,523,523
1781967807.7541687,317,622,524,524
1781967867.8260489,317,622,525,525
1781968348.3585536,317,622,526,526
1781968528.563919,317,622,527,527
1781968888.966544,317,622,528,528
1781969069.171727,317,622,529,529
1781969369.5087678,317,622,530,530
1781970150.3149366,317,622,531,531
1781970210.385511,317,622,532,532
1781970570.7789614,317,622,533,533
1781972012.3181925,317,622,535,535
1781972432.7849495,317,622,536,536
1781972793.1905997,317,622,537,537
1781973093.5051455,317,622,538,538
1781973754.2369335,317,622,539,539
1781973874.375853,317,622,540,540
1781974054.5756423,317,622,541,541
1781974475.0437667,317,622,542,542
1781974715.3120382,317,622,543,543
1781975436.1047285,317,622,544,544
1781975916.635419,317,622,545,545
1781976156.9085486,317,622,546,546
1781976397.1790807,317,622,547,547
1781976517.3156936,317,622,548,548
1781976577.3840537,317,622,549,549
1781977418.3134089,317,622,550,550
1781977478.3856027,317,622,551,551
1781977718.656562,317,622,553,553
1781978619.6520143,317,622,554,554
1781978919.9847722,317,622,555,555
1781979160.200337,317,622,556,556
1781979520.600945,317,622,557,557
1781979640.736656,317,622,558,558
1781979700.810049,317,622,559,559
1781980061.210341,317,622,561,561
1781980301.47952,317,622,562,562
1781981502.8017285,317,622,563,563
1781981562.871572,317,622,565,565
1781981743.0808287,317,622,566,566
1781982283.6822758,317,622,567,567
1781982343.751116,317,622,568,568
1781982764.2230551,317,622,569,569
1781983124.6266677,317,622,570,570
1781983424.934614,317,622,571,571
1781983485.0023897,317,622,572,572
1781983545.0727222,317,622,573,573
1781983725.2729864,317,622,574,574
1781984025.60881,317,622,575,575
1781984866.5364766,317,622,576,576
1781985106.8039544,317,622,577,577
1781985226.9374092,317,622,578,578
1781985527.2693422,317,622,579,579
1781985887.67528,317,622,580,580
1781986608.4735327,317,622,581,581
1781986788.6728523,317,622,582,582
1781987269.2057157,317,622,583,583
1781987329.277521,317,622,584,584
1781987929.9413984,317,622,585,585
1781988410.4783037,317,622,586,586
1781988530.6128988,317,622,587,587
1781988830.945292,317,622,588,588
1781989131.2802527,317,622,589,589
1781989551.7512972,317,622,590,590
1781990212.4336052,317,622,591,591
1781990452.7044554,317,622,592,592
1781991113.4384828,317,622,593,593
1781991533.909409,317,622,594,594
1781991593.980499,317,622,595,595
1781991654.048442,317,622,596,596
1781992314.7779555,317,622,597,597
1781992855.3765676,317,622,598,598
1781993035.5776021,317,622,600,600
1781993155.712477,317,622,601,601
1781993215.782965,317,622,602,602
1781994477.1559994,317,622,603,603
1781994537.2254958,317,622,604,604
1781994777.4944613,317,622,605,605
1781995618.423676,317,622,607,607
1781996098.9563997,317,622,608,608
1781996339.1962907,317,622,610,610
1781996519.4024878,317,622,611,611
1781997180.1463265,317,622,612,612
1781997540.5493054,317,622,613,613
1781997961.012508,317,622,614,614
1781998441.4962847,317,622,615,615
1781998621.6971014,317,622,616,616
1781999402.5631523,317,622,618,618
1782000003.2369382,317,622,619,619
1782000123.3192286,317,622,621,621
1782000363.5400326,317,622,622,622
