epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time,epoch_nan_count
1,0.4626632321580368,0.41149309991128946,0.7260865074064637,0.6494155365698756,0.5907895294861176,139.37,0
2,0.4261077172116244,0.3838257703338624,0.7493343040844972,0.6905944328904358,0.627576160729151,139.74,0
3,0.4076537499381855,0.36603761072950186,0.7616341025165667,0.7032786686655446,0.6385644328361214,139.37,0
4,0.3945225918015725,0.35942625221670477,0.7661202759507496,0.7060598020781699,0.6451051295361915,140.09,0
5,0.38352769396634145,0.35079236785374657,0.7750110750008565,0.7151802128989571,0.66008448701471,140.37,0
6,0.37500665859836324,0.3419375835050281,0.7817420657065185,0.7208302273526138,0.670747473816704,140.32,0
7,0.367970220422774,0.34143917677913027,0.7795581235519837,0.7191978924395991,0.6642173176939582,140.41,0
8,0.36206947081305796,0.33643948827552406,0.7837026536688988,0.7274285121633376,0.6764048587899607,140.08,0
9,0.35612871496111076,0.3362274017811098,0.7857741843478262,0.7271296739212483,0.6789974908887262,139.81,0
10,0.3509953982088525,0.3357779486262164,0.7866808253671612,0.7282303341263788,0.6795385951152373,139.83,0
11,0.34530448467955366,0.3343075377808811,0.7877088300841293,0.7321053285217637,0.6847384708917098,139.89,0
12,0.34031170371749353,0.3350146982102652,0.7865884540610716,0.7276443708031309,0.6799418260164137,140.11,0
13,0.33464373226656574,0.332940488662496,0.7889861697557347,0.7311669489651436,0.6848117884215318,140.23,0
14,0.3292116304270335,0.3404352575067802,0.7889225854046228,0.7312110791129383,0.6855037950575041,139.91,0
15,0.3233322768024029,0.33656233716937023,0.7900080468465159,0.732410179051168,0.6864523460253465,139.43,0
16,0.31756466428921376,0.3423323558018711,0.7902999688710676,0.7307173299102825,0.6879971168872405,139.69,0
17,0.31164073894503397,0.34490667002211084,0.7887390679942904,0.7291218274611804,0.6867333730277261,140.07,0
18,0.305301865713997,0.3486121580254631,0.786258296038587,0.7287691874766056,0.6841141907620543,139.59,0
19,0.29906167908040726,0.3538400040777904,0.788979779426529,0.7305839316642793,0.6892825081453365,140.06,0
20,0.29243792550444314,0.35848836152930547,0.7879467670735185,0.7264085958924201,0.6893407433847141,140.33,0
21,0.28649210011597304,0.3653535085010623,0.7883696099883459,0.7282283579469082,0.6917189542877535,139.39,0
22,0.27972106608430813,0.37500308092959944,0.7874217606735283,0.7272795691623438,0.6919023842431737,139.97,0
23,0.27317458148991336,0.3755890166735421,0.7867211773502889,0.7263894098036124,0.6885080994024011,139.68,0
24,0.26724185170551984,0.3802927114760973,0.7873127880202114,0.7278788874911865,0.6922592753011999,139.98,0
25,0.26104995189614927,0.3905261807024274,0.7865249425104045,0.7258005830285122,0.691806823551953,140.36,0
26,0.2545896616191899,0.3973700058376921,0.7878530873146449,0.7264812504563453,0.6940048237962809,140.23,0
