epoch,train_loss,val_loss,frame_f1,mean_iou,segment_f1,epoch_time
1,0.47030165554089676,0.4472880493006192,0.66659479295903,0.49929299273934846,0.44948149019839057,201.14
2,0.41147880320250774,0.4177772283628632,0.7024177540505994,0.6437230900096667,0.5292491978329628,197.47
3,0.3910809100047455,0.3999529827699026,0.7062023003096528,0.646497665196947,0.5194947017909992,193.56
4,0.379769975792245,0.39664447611366493,0.7092040738853876,0.6472312671520518,0.5192529519225653,194.55
5,4400213060004314.5,0.3931620403330741,0.7095015427194749,0.6482794664772489,0.5197426118571722,194.46
6,1.7173020373994816,0.3898730572115073,0.7150013404137044,0.6642800627820173,0.5331670876474799,196.77
7,3.777634921528327,0.3845663299319472,0.7189305582962962,0.66965827562444,0.5424969756877666,196.08
8,946963091305178.1,0.3827952384735455,0.7176388042752624,0.6637402526987408,0.529052766141707,194.4
9,304177.53807856055,0.38025585968054104,0.7295565447999828,0.6844831776194584,0.563678050684018,195.2
10,2.7189781214635746,0.3790785348675491,0.7239631558342607,0.670150201397418,0.544472855710115,194.99
11,1049.239266765277,0.37974456029337905,0.7277835746532092,0.6801805606781227,0.5561783826467046,199.45
12,0.7233542604189874,74088.6819216963,0.73170509018308,0.6848542317210595,0.5638439570225873,197.21
13,3.5825809722871996e+22,0.3800680451868151,0.7248401234360484,0.6849397433606754,0.5525430393971139,192.83
14,1744941205.3263037,0.3841963139723719,0.7328644303208384,0.6858273987425372,0.5795097810667282,197.12
15,137323002393967.94,0.38588614316762293,0.7285510908450522,0.6871600279290158,0.5628786337266298,192.75
16,4770.205628045797,0.39519915502646213,0.7274949800439334,0.682164772465245,0.5623392313894336,195.48
17,135983098226.88116,0.3938197334711559,0.7357348252272915,0.6855626850784928,0.5877987762188074,200.97
18,2.3003097916653252,275464.26021472685,0.7336940266187172,0.6884985850164947,0.5803033195043501,197.44
19,281366048687.8304,0.3957013051459014,0.736510304806605,0.689327001526847,0.5882719147255941,194.43
20,381759873469.6862,2171.070919236698,0.7325523196016175,0.686042499851147,0.5764096716005261,194.46
21,2045.4349995958617,0.4064041889316639,0.7294567186927949,0.6861505319941775,0.5708413865033204,198.03
22,121303566608432.62,0.40204129012736517,0.731187703778973,0.6848226197958636,0.5727904329730749,198.81
23,38.5893879026742,89.02341466203886,0.732958850028509,0.688997819346593,0.5836884608413638,195.13
24,0.29459838334654903,0.4278275517628782,0.7379797573042878,0.6891838753653498,0.5952203945311498,193.08
25,908.7795442042783,0.4286032742196972,0.7345040762678312,0.6848352040442695,0.5876424357047516,192.85
26,45.649201056804436,0.4422946785322828,0.7315513826903554,0.686576940026421,0.583809846842569,198.63
27,0.26379575027740515,0.440948043392673,0.7360971267024722,0.6881936801556718,0.5930944535452611,194.49
28,3.684307597796548,0.4598601922671747,0.7349619730676752,0.6856457816160387,0.5908962789761827,194.29
29,21.001366436397607,6.018784910737587,0.7375918885380262,0.6853571919446514,0.5979245363311242,195.77
30,0.347003544096793,0.4566589688198552,0.7362784010313902,0.685900822678933,0.596092066765492,191.39
31,8400174.683078263,5.284593682935959,0.7344970191224344,0.6856590256360947,0.5940525104750303,201.2
32,30354572.172887653,2.2351478192631835,0.735714667258722,0.6840105362632962,0.596372529384832,197.29
33,0.41749241412768956,0.4739494887786252,0.7355626719382317,0.6838238457431337,0.5943462681741466,193.2
34,81216795601598.6,0.5616438649819198,0.7357489347549774,0.6845382539995972,0.5954537495153467,194.64
