model,length_frames,mode,time_seconds,peak_mem_gb,status
stgcn_mamba,1024,chunked,0.015585220011416823,0.048990726470947266,ok
stgcn_mamba,1024,streaming,0.0037793589872308075,0.13819074630737305,ok
stgcn_mamba,2048,chunked,0.02988047996768728,0.050257205963134766,ok
stgcn_mamba,2048,streaming,0.007496742997318506,0.2349996566772461,ok
stgcn_mamba,4096,chunked,0.05880082899238914,0.05129098892211914,ok
stgcn_mamba,4096,streaming,0.015158710011746734,0.4300074577331543,ok
stgcn_mamba,8192,chunked,0.11666939401766285,0.05520439147949219,ok
stgcn_mamba,8192,streaming,0.029862101015169173,0.8099818229675293,ok
stgcn_mamba,16384,chunked,0.23302418197272345,0.06046915054321289,ok
stgcn_mamba,16384,streaming,0.06013862899271771,1.5777430534362793,ok
stgcn_bimamba,1024,chunked,0.02434058702783659,0.055760860443115234,ok
stgcn_bimamba,1024,streaming,0.0037134389858692884,0.14471673965454102,ok
stgcn_bimamba,2048,chunked,0.04734466999070719,0.056844234466552734,ok
stgcn_bimamba,2048,streaming,0.00831739796558395,0.24152565002441406,ok
stgcn_bimamba,4096,chunked,0.09392376797040924,0.05787801742553711,ok
stgcn_bimamba,4096,streaming,0.01817439601290971,0.43653345108032227,ok
stgcn_bimamba,8192,chunked,0.18540154496440664,0.061791419982910156,ok
stgcn_bimamba,8192,streaming,0.034721884003374726,0.8165078163146973,ok
stgcn_bimamba,16384,chunked,0.368595429987181,0.06705617904663086,ok
stgcn_bimamba,16384,streaming,0.07170115504413843,1.5842690467834473,ok
stgcn_bilstm,1024,chunked,0.0364438199903816,0.14531421661376953,ok
stgcn_bilstm,1024,streaming,0.029691831034142524,0.1763019561767578,ok
stgcn_bilstm,2048,chunked,0.0719506639870815,0.14630603790283203,ok
stgcn_bilstm,2048,streaming,0.058378921006806195,0.2504291534423828,ok
stgcn_bilstm,4096,chunked,0.14182703901315108,0.1474313735961914,ok
stgcn_bilstm,4096,streaming,0.12143573595676571,0.44503259658813477,ok
stgcn_bilstm,8192,chunked,0.28260693803895265,0.15139102935791016,ok
stgcn_bilstm,8192,streaming,0.24493084097048268,0.8250069618225098,ok
stgcn_bilstm,16384,chunked,0.5638153299805708,0.15660953521728516,ok
stgcn_bilstm,16384,streaming,0.4935446120216511,1.5927681922912598,ok
stgcn_transformer,1024,chunked,0.012251214007847011,0.10272836685180664,ok
stgcn_transformer,1024,streaming,0.004093736002687365,0.19159269332885742,ok
stgcn_transformer,2048,chunked,0.023515023000072688,0.10331583023071289,ok
stgcn_transformer,2048,streaming,0.011083766003139317,0.28840160369873047,ok
stgcn_transformer,4096,chunked,0.045942005002871156,0.10534143447875977,ok
stgcn_transformer,4096,streaming,0.029784504033159465,0.48340940475463867,ok
stgcn_transformer,8192,chunked,0.08999504504026845,0.10790491104125977,ok
stgcn_transformer,8192,streaming,0.08806778199505061,0.8633837699890137,ok
stgcn_transformer,16384,chunked,0.1800388339906931,0.11402368545532227,ok
stgcn_transformer,16384,streaming,0.2862267519813031,1.6311450004577637,ok
